Sn,From,to,pm10,pm2.5,NO,NO2,NOX,CO,SO2,NH3,Ozone,Benzene
1,01-02-2023 00:00,01-02-2023 00:15,95,35,NA,90.1,56.2,0.31,NA,17.7,28.1,0.4
2,01-02-2023 00:15,01-02-2023 00:30,95,35,NA,88,55.1,0.33,NA,18.3,27.1,0.4
3,01-02-2023 00:30,01-02-2023 00:45,95,35,NA,87.7,55.2,0.38,NA,19.7,24.9,0.4
4,01-02-2023 00:45,01-02-2023 01:00,122,34,NA,88.9,55.7,0.38,NA,21.3,21.9,0.4
5,01-02-2023 01:00,01-02-2023 01:15,122,34,NA,90,55.8,0.38,NA,22.3,16.7,0.4
6,01-02-2023 01:15,01-02-2023 01:30,122,34,NA,90.2,55.9,0.37,NA,22.7,16.1,0.4
7,01-02-2023 01:30,01-02-2023 01:45,122,34,NA,88.9,55.4,0.34,NA,23.1,22.5,0.4
8,01-02-2023 01:45,01-02-2023 02:00,90,35,NA,88.9,55.2,0.35,NA,23.5,20.5,0.4
9,01-02-2023 02:00,01-02-2023 02:15,90,35,NA,88.9,55.9,0.34,NA,23.1,22.8,0.4
10,01-02-2023 02:15,01-02-2023 02:30,90,35,NA,88.9,55.3,0.35,NA,22.9,19,0.4
11,01-02-2023 02:30,01-02-2023 02:45,90,35,NA,88.8,55.4,0.39,NA,22.6,17.1,0.4
12,01-02-2023 02:45,01-02-2023 03:00,72,32,NA,88.9,55.1,0.46,NA,22.5,19.1,0.4
13,01-02-2023 03:00,01-02-2023 03:15,72,32,NA,88.9,55.8,0.47,NA,22.7,18.2,0.4
14,01-02-2023 03:15,01-02-2023 03:30,72,32,NA,87.7,55.5,0.44,NA,22.5,18,0.4
15,01-02-2023 03:30,01-02-2023 03:45,72,32,NA,85.6,54.2,0.41,NA,22.7,15.7,0.4
16,01-02-2023 03:45,01-02-2023 04:00,72,44,NA,84.9,54.1,0.41,NA,23.2,13.8,0.4
17,01-02-2023 04:00,01-02-2023 04:15,72,44,NA,84.5,53.7,0.41,NA,23.4,16.4,0.4
18,01-02-2023 04:15,01-02-2023 04:30,72,44,NA,83.6,53,0.42,NA,21.3,16.9,0.4
19,01-02-2023 04:30,01-02-2023 04:45,72,44,NA,82.7,52.3,0.39,NA,19.9,16.7,0.4
20,01-02-2023 04:45,01-02-2023 05:00,58,28,NA,81.3,51.5,0.37,NA,18.8,18.9,0.4
21,01-02-2023 05:00,01-02-2023 05:15,58,28,NA,80,51.2,0.34,NA,18.3,22.8,0.4
22,01-02-2023 05:15,01-02-2023 05:30,58,28,NA,80.1,51.4,0.33,NA,17.3,22.7,0.4
23,01-02-2023 05:30,01-02-2023 05:45,58,28,NA,78.9,51.1,0.32,NA,17.2,23.7,0.4
24,01-02-2023 05:45,01-02-2023 06:00,58,33,NA,78.6,50.6,0.32,NA,17.7,24.1,0.4
25,01-02-2023 06:00,01-02-2023 06:15,58,33,NA,79.3,49.9,0.31,NA,17.6,22.4,0.4
26,01-02-2023 06:15,01-02-2023 06:30,58,33,NA,77.9,49.5,0.31,NA,17.5,17.5,0.4
27,01-02-2023 06:30,01-02-2023 06:45,58,33,NA,76.7,49,0.31,NA,18,15.8,0.4
28,01-02-2023 06:45,01-02-2023 07:00,67,45,NA,75.7,48.6,0.33,NA,18.2,14,0.4
29,01-02-2023 07:00,01-02-2023 07:15,67,45,NA,76.1,49,0.37,NA,18,11,0.4
30,01-02-2023 07:15,01-02-2023 07:30,67,45,NA,76.3,49,0.45,NA,19.1,9.3,0.4
31,01-02-2023 07:30,01-02-2023 07:45,67,45,NA,75.9,48.9,0.52,NA,18.8,12.5,0.4
32,01-02-2023 07:45,01-02-2023 08:00,83,68,NA,76.6,49.3,0.47,NA,18.1,22.1,0.4
33,01-02-2023 08:00,01-02-2023 08:15,83,68,NA,79.1,50.8,0.49,NA,17.3,30.1,0.4
34,01-02-2023 08:15,01-02-2023 08:30,83,68,NA,78.9,50.6,0.34,NA,18.2,35.8,0.4
35,01-02-2023 08:30,01-02-2023 08:45,83,68,NA,77.8,49.1,0.29,NA,20.4,36.9,0.4
36,01-02-2023 08:45,01-02-2023 09:00,122,46,NA,79.1,48.9,0.26,NA,21.7,NA,0.4
37,01-02-2023 09:00,01-02-2023 09:15,122,46,NA,80.4,48.6,0.26,NA,23.2,NA,0.4
38,01-02-2023 09:15,01-02-2023 09:30,122,46,NA,81.1,48.1,0.26,NA,23.4,44.5,0.4
39,01-02-2023 09:30,01-02-2023 09:45,122,46,NA,82.1,47.7,0.26,NA,22.4,44.6,0.4
40,01-02-2023 09:45,01-02-2023 10:00,99,31,NA,80.4,46.7,NA,NA,23.7,45.8,0.4
41,01-02-2023 10:00,01-02-2023 10:15,99,31,NA,77.9,45.5,NA,NA,25.1,47.3,0.4
42,01-02-2023 10:15,01-02-2023 10:30,99,31,NA,77.4,45.1,1.1,NA,27,48.6,0.4
43,01-02-2023 10:30,01-02-2023 10:45,99,31,NA,76,44.3,0.27,NA,28.2,49.2,0.2
44,01-02-2023 10:45,01-02-2023 11:00,64,22,NA,75.1,44.2,0.25,NA,26.6,50.4,0.1
45,01-02-2023 11:00,01-02-2023 11:15,64,22,NA,75.4,43.8,0.24,NA,25.8,51.7,0.1
46,01-02-2023 11:15,01-02-2023 11:30,64,22,NA,74.9,42.9,0.23,NA,24.8,53.4,0.1
47,01-02-2023 11:30,01-02-2023 11:45,64,22,NA,73.2,41.6,0.22,NA,24.9,52.1,0.1
48,01-02-2023 11:45,01-02-2023 12:00,64,23,NA,NA,NA,0.14,NA,NA,NA,0.1
49,01-02-2023 12:00,01-02-2023 12:15,64,23,NA,NA,NA,0.15,NA,NA,NA,0.1
50,01-02-2023 12:15,01-02-2023 12:30,64,23,NA,NA,NA,0.31,NA,24,NA,0.1
51,01-02-2023 12:30,01-02-2023 12:45,64,23,NA,64,36.4,0.29,NA,24,NA,0.1
52,01-02-2023 12:45,01-02-2023 13:00,61,23,NA,62.1,35.1,0.27,NA,21.9,58.6,0.1
53,01-02-2023 13:00,01-02-2023 13:15,61,23,NA,63.6,35.9,0.24,NA,20.6,59.8,0.1
54,01-02-2023 13:15,01-02-2023 13:30,61,23,NA,63.4,35.9,0.1,NA,20.1,57.1,0.1
55,01-02-2023 13:30,01-02-2023 13:45,61,23,NA,61.5,35.2,0.23,NA,20.4,56.5,0.1
56,01-02-2023 13:45,01-02-2023 14:00,73,18,NA,59.9,34.8,0.31,NA,20.5,56.9,0.1
57,01-02-2023 14:00,01-02-2023 14:15,73,18,NA,62.4,36.2,0.3,NA,20.7,56.8,0.1
58,01-02-2023 14:15,01-02-2023 14:30,73,18,NA,61.1,35,0.31,NA,21.5,57.1,0.1
59,01-02-2023 14:30,01-02-2023 14:45,73,18,NA,59,34,0.34,NA,22,55,0.1
60,01-02-2023 14:45,01-02-2023 15:00,63,14,NA,59.2,34,0.38,NA,20.8,56.3,0.1
61,01-02-2023 15:00,01-02-2023 15:15,63,14,NA,61.3,35.1,0.37,NA,20.7,NA,0.1
62,01-02-2023 15:15,01-02-2023 15:30,63,14,NA,61.7,35.6,0.3,NA,21.8,NA,0.1
63,01-02-2023 15:30,01-02-2023 15:45,63,14,NA,60.7,35.4,0.26,NA,22.7,NA,0.1
64,01-02-2023 15:45,01-02-2023 16:00,70,17,NA,59.5,35.3,0.29,NA,23.4,NA,0.1
65,01-02-2023 16:00,01-02-2023 16:15,70,17,NA,61.3,36.9,0.29,NA,23.1,48.6,0.1
66,01-02-2023 16:15,01-02-2023 16:30,70,17,NA,62.7,38,0.27,NA,23.1,49.2,0.1
67,01-02-2023 16:30,01-02-2023 16:45,70,17,NA,64.8,38.7,0.27,NA,24.6,49.8,0.1
68,01-02-2023 16:45,01-02-2023 17:00,100,20,NA,66.5,39.7,0.31,NA,26.2,47.8,0.1
69,01-02-2023 17:00,01-02-2023 17:15,100,20,NA,69.4,41.3,0.33,NA,28,44.6,0.1
70,01-02-2023 17:15,01-02-2023 17:30,100,20,NA,70.7,42.2,0.35,NA,30.3,42.6,0.1
71,01-02-2023 17:30,01-02-2023 17:45,100,20,NA,71.1,42.7,0.46,NA,29,37.1,0.1
72,01-02-2023 17:45,01-02-2023 18:00,146,41,NA,73.5,44.5,0.53,NA,28,28,0.1
73,01-02-2023 18:00,01-02-2023 18:15,146,41,NA,78.7,47.7,0.53,NA,26.5,36.2,0.1
74,01-02-2023 18:15,01-02-2023 18:30,146,41,NA,81.9,48.8,0.53,NA,25.6,39.5,0.1
75,01-02-2023 18:30,01-02-2023 18:45,146,41,NA,84,50.6,0.49,NA,24.5,40.5,0.1
76,01-02-2023 18:45,01-02-2023 19:00,239,44,NA,86.3,52.1,0.46,NA,24.5,43.3,0.1
77,01-02-2023 19:00,01-02-2023 19:15,239,44,NA,89.7,53.6,0.52,NA,24.1,33.4,0.1
78,01-02-2023 19:15,01-02-2023 19:30,239,44,NA,89.8,54.3,0.54,NA,24,31.8,0.1
79,01-02-2023 19:30,01-02-2023 19:45,239,44,NA,90.3,54.9,0.6,NA,24.2,32,0.1
80,01-02-2023 19:45,01-02-2023 20:00,239,50,NA,92,56.1,0.76,NA,23.7,24.4,0.1
81,01-02-2023 20:00,01-02-2023 20:15,239,50,NA,93.4,56.7,0.76,NA,24.1,23,0.1
82,01-02-2023 20:15,01-02-2023 20:30,239,50,NA,93.2,56.6,0.74,NA,24.3,18.4,0.1
83,01-02-2023 20:30,01-02-2023 20:45,239,50,NA,93.8,57.6,0.76,NA,24.7,18,0.1
84,01-02-2023 20:45,01-02-2023 21:00,250,42,NA,93.1,57.9,0.76,NA,24.4,15.7,0.1
85,01-02-2023 21:00,01-02-2023 21:15,250,42,NA,93.3,58.5,0.73,NA,23.4,12.6,0.1
86,01-02-2023 21:15,01-02-2023 21:30,250,42,NA,93.9,59.2,0.77,NA,21.6,10,0.1
87,01-02-2023 21:30,01-02-2023 21:45,250,42,NA,93.7,59.4,0.78,NA,20.2,11.2,0.1
88,01-02-2023 21:45,01-02-2023 22:00,219,42,NA,92.5,59.4,0.79,NA,19.6,11.4,0.1
89,01-02-2023 22:00,01-02-2023 22:15,219,42,NA,90.9,59.5,0.77,NA,19.2,13.1,0.1
90,01-02-2023 22:15,01-02-2023 22:30,219,42,NA,88.8,58.2,0.8,NA,19,13,0.1
91,01-02-2023 22:30,01-02-2023 22:45,219,42,NA,86.7,57.1,1.02,NA,19.4,12.7,0.1
92,01-02-2023 22:45,01-02-2023 23:00,207,50,NA,85.6,56.5,1.04,NA,19.6,17,0.1
93,01-02-2023 23:00,01-02-2023 23:15,207,50,NA,84,55.9,1.03,NA,19.7,16.6,0.1
94,01-02-2023 23:15,01-02-2023 23:30,207,50,NA,81.4,54.1,0.98,NA,19.8,17.4,0.1
95,01-02-2023 23:30,01-02-2023 23:45,207,50,NA,80.1,53,0.92,NA,19.7,19.6,0.1
96,01-02-2023 23:45,02-02-2023 00:00,178,61,NA,79,53.1,NA,NA,19.7,15.3,0.1
97,02-02-2023 00:00,02-02-2023 00:15,178,61,NA,78.8,52.6,1.37,NA,19.7,8.7,0.1
98,02-02-2023 00:15,02-02-2023 00:30,178,61,NA,78.3,51.8,1.28,NA,19.6,9,0.1
99,02-02-2023 00:30,02-02-2023 00:45,178,61,NA,77.5,51.8,1.19,NA,20,8.7,0.1
100,02-02-2023 00:45,02-02-2023 01:00,146,52,NA,76.8,51.6,1.16,NA,21.4,6.9,0.1
101,02-02-2023 01:00,02-02-2023 01:15,146,52,NA,77.9,52.2,1.12,NA,22.4,6.6,0.1
102,02-02-2023 01:15,02-02-2023 01:30,146,52,NA,79.2,52.7,1.12,NA,23.4,6.3,0.1
103,02-02-2023 01:30,02-02-2023 01:45,146,52,NA,80,53.5,1.11,NA,24.1,6.7,0.1
104,02-02-2023 01:45,02-02-2023 02:00,190,55,NA,80.9,53.6,1.11,NA,24.3,8.4,0.1
105,02-02-2023 02:00,02-02-2023 02:15,190,55,NA,81.1,53.9,1.11,NA,24.6,10.7,0.1
106,02-02-2023 02:15,02-02-2023 02:30,190,55,NA,80.2,53.2,1.1,NA,24.7,10.8,0.1
107,02-02-2023 02:30,02-02-2023 02:45,190,55,NA,79.3,52.4,1.05,NA,24.7,12.3,0.1
108,02-02-2023 02:45,02-02-2023 03:00,190,44,NA,78.7,52,1.05,NA,24.5,13.5,0.1
109,02-02-2023 03:00,02-02-2023 03:15,190,44,NA,77.5,51.1,1.06,NA,24.7,13.2,0.1
110,02-02-2023 03:15,02-02-2023 03:30,190,44,NA,76.2,50.4,1.09,NA,24.9,13.4,0.1
111,02-02-2023 03:30,02-02-2023 03:45,190,44,NA,75,49.1,1.06,NA,24.6,18.5,0.1
112,02-02-2023 03:45,02-02-2023 04:00,113,38,NA,73.9,48.3,1.05,NA,25,20.6,0.1
113,02-02-2023 04:00,02-02-2023 04:15,113,38,NA,72.9,47.6,1.05,NA,24.8,17.7,0.1
114,02-02-2023 04:15,02-02-2023 04:30,113,38,NA,72.4,47.4,1.04,NA,24.3,21.2,0.1
115,02-02-2023 04:30,02-02-2023 04:45,113,38,NA,72,46.7,1.04,NA,24.6,20.4,0.1
116,02-02-2023 04:45,02-02-2023 05:00,92,40,NA,70.9,45,1.09,NA,23.7,15.6,0.1
117,02-02-2023 05:00,02-02-2023 05:15,92,40,NA,71.4,45.8,1.09,NA,21.6,14,0.1
118,02-02-2023 05:15,02-02-2023 05:30,92,40,NA,70.3,45.6,1.11,NA,20.4,12.2,0.1
119,02-02-2023 05:30,02-02-2023 05:45,92,40,NA,68.2,44.9,1.06,NA,20,14.2,0.1
120,02-02-2023 05:45,02-02-2023 06:00,99,44,NA,68.1,44.1,1.09,NA,19.4,16.1,0.1
121,02-02-2023 06:00,02-02-2023 06:15,99,44,NA,67.9,44.3,1.13,NA,19.1,12.5,0.1
122,02-02-2023 06:15,02-02-2023 06:30,99,44,NA,66.4,43.7,1.15,NA,19,13.7,0.1
123,02-02-2023 06:30,02-02-2023 06:45,99,44,NA,65.4,43.5,1.16,NA,18.9,12.9,0.1
124,02-02-2023 06:45,02-02-2023 07:00,96,51,NA,64.6,43.1,1.24,NA,19.3,9.2,0.1
125,02-02-2023 07:00,02-02-2023 07:15,96,51,NA,64.9,43.4,1.31,NA,19.6,10.6,0.1
126,02-02-2023 07:15,02-02-2023 07:30,96,51,NA,64.8,43.6,1.36,NA,19.3,12.1,0.1
127,02-02-2023 07:30,02-02-2023 07:45,96,51,NA,65.1,43.5,1.32,NA,18.7,15.8,0.1
128,02-02-2023 07:45,02-02-2023 08:00,111,69,NA,66.2,44.6,1.19,NA,18.9,25.6,0.1
129,02-02-2023 08:00,02-02-2023 08:15,111,69,NA,67.7,44.7,1.13,NA,19.1,34.7,0.1
130,02-02-2023 08:15,02-02-2023 08:30,111,69,NA,68.4,43.9,1.26,NA,19.4,33.2,0.1
131,02-02-2023 08:30,02-02-2023 08:45,111,69,NA,69.3,43.6,1.12,NA,19.8,34.4,0.1
132,02-02-2023 08:45,02-02-2023 09:00,151,63,NA,69.3,42.9,1.08,NA,22.4,NA,0.1
133,02-02-2023 09:00,02-02-2023 09:15,151,63,NA,69.6,42.4,1.09,NA,24,NA,0.1
134,02-02-2023 09:15,02-02-2023 09:30,151,63,NA,71.4,42.6,1.09,NA,24.7,43.3,0.1
135,02-02-2023 09:30,02-02-2023 09:45,151,63,NA,73,42.5,1.09,NA,24.4,45,0.1
136,02-02-2023 09:45,02-02-2023 10:00,113,42,NA,74.8,43,NA,NA,25.7,47.9,0.1
137,02-02-2023 10:00,02-02-2023 10:15,113,42,NA,75.9,43.4,NA,NA,28.8,49.3,0.1
138,02-02-2023 10:15,02-02-2023 10:30,113,42,NA,75.3,43,1.95,NA,28.3,48.3,0.1
139,02-02-2023 10:30,02-02-2023 10:45,113,42,NA,NA,NA,NA,NA,NA,NA,NA
140,02-02-2023 10:45,02-02-2023 11:00,113,40,NA,73.3,42.6,1.12,NA,28.5,50.5,0.1
141,02-02-2023 11:00,02-02-2023 11:15,113,40,NA,74.3,43.5,1.11,NA,27.8,49.6,0.1
142,02-02-2023 11:15,02-02-2023 11:30,113,40,NA,73.7,43.1,1.12,NA,28,48.2,0.1
143,02-02-2023 11:30,02-02-2023 11:45,113,40,NA,73.4,42.8,1.13,NA,29.1,50.2,0.1
144,02-02-2023 11:45,02-02-2023 12:00,105,31,NA,NA,NA,1.12,NA,NA,50.8,0.1
145,02-02-2023 12:00,02-02-2023 12:15,105,31,NA,NA,NA,1.12,NA,NA,49.6,0.1
146,02-02-2023 12:15,02-02-2023 12:30,105,31,NA,NA,NA,1.16,NA,23.7,44.3,0.1
147,02-02-2023 12:30,02-02-2023 12:45,105,31,NA,73.3,45.3,1.19,NA,22.8,41.7,0.1
148,02-02-2023 12:45,02-02-2023 13:00,114,36,NA,74.3,46.4,1.21,NA,25.8,41.5,0.1
149,02-02-2023 13:00,02-02-2023 13:15,114,36,NA,74.3,46.7,1.23,NA,25,41.6,0.1
150,02-02-2023 13:15,02-02-2023 13:30,114,36,NA,73.3,46.4,1.18,NA,22.9,45.7,0.1
151,02-02-2023 13:30,02-02-2023 13:45,114,36,NA,73.5,47.1,1.11,NA,21.7,50.1,0.1
152,02-02-2023 13:45,02-02-2023 14:00,135,30,NA,74.1,47.1,1.08,NA,19.9,50.5,0.1
153,02-02-2023 14:00,02-02-2023 14:15,135,30,NA,76.4,48.1,1.06,NA,19.5,53.3,0.1
154,02-02-2023 14:15,02-02-2023 14:30,135,30,NA,76.1,47.6,1.06,NA,19.1,51.4,0.1
155,02-02-2023 14:30,02-02-2023 14:45,135,30,NA,76.1,47.9,1.06,NA,18.7,53.4,0.1
156,02-02-2023 14:45,02-02-2023 15:00,146,27,NA,76.5,47.7,1.05,NA,18.6,55.3,0.1
157,02-02-2023 15:00,02-02-2023 15:15,146,27,NA,78,48.3,1.06,NA,18,55.4,0.1
158,02-02-2023 15:15,02-02-2023 15:30,146,27,NA,78.5,48.1,1.05,NA,17.8,55.5,0.1
159,02-02-2023 15:30,02-02-2023 15:45,146,27,NA,78.8,48,1.08,NA,17.7,54.5,0.1
160,02-02-2023 15:45,02-02-2023 16:00,133,21,NA,78.9,48.1,1.08,NA,18,55.8,0.1
161,02-02-2023 16:00,02-02-2023 16:15,133,21,NA,80.2,48.3,1.08,NA,18,54.4,0.1
162,02-02-2023 16:15,02-02-2023 16:30,133,21,NA,80.8,48.2,1.05,NA,17.8,54.1,0.1
163,02-02-2023 16:30,02-02-2023 16:45,133,21,NA,80.1,47.5,1.1,NA,18,53.3,0.1
164,02-02-2023 16:45,02-02-2023 17:00,138,26,NA,79.8,47.3,1.12,NA,19.1,53.3,0.1
165,02-02-2023 17:00,02-02-2023 17:15,138,26,NA,80.7,47.7,1.15,NA,21.6,51.2,0.1
166,02-02-2023 17:15,02-02-2023 17:30,138,26,NA,81.7,48.8,1.13,NA,25.8,48.5,0.1
167,02-02-2023 17:30,02-02-2023 17:45,138,26,NA,83.4,50.4,1.16,NA,26.1,43.7,0.1
168,02-02-2023 17:45,02-02-2023 18:00,129,31,NA,87,53.1,1.18,NA,25.1,29.2,0.1
169,02-02-2023 18:00,02-02-2023 18:15,129,31,NA,89.8,55.1,1.37,NA,24.3,17,0.1
170,02-02-2023 18:15,02-02-2023 18:30,129,31,NA,90.9,56.3,1.45,NA,24,12,0.1
171,02-02-2023 18:30,02-02-2023 18:45,129,31,NA,91.4,57,1.63,NA,24.4,9.2,0.1
172,02-02-2023 18:45,02-02-2023 19:00,129,86,NA,92.6,58.9,2.05,NA,24.7,4.7,0.1
173,02-02-2023 19:00,02-02-2023 19:15,129,86,NA,94.2,62.9,2.26,NA,24.9,5.5,0.1
174,02-02-2023 19:15,02-02-2023 19:30,129,86,NA,95.4,66.5,1.98,NA,25,5.5,0.2
175,02-02-2023 19:30,02-02-2023 19:45,129,86,NA,95.1,68.9,1.68,NA,25.2,4.9,0.2
176,02-02-2023 19:45,02-02-2023 20:00,442,120,NA,95.6,71,1.71,NA,25,4.3,0.2
177,02-02-2023 20:00,02-02-2023 20:15,442,120,NA,97,72.8,1.72,NA,24.5,4.9,0.2
178,02-02-2023 20:15,02-02-2023 20:30,442,120,NA,97,73.8,1.67,NA,24.6,5,0.2
179,02-02-2023 20:30,02-02-2023 20:45,442,120,NA,96.2,74.4,1.79,NA,25,4.7,0.2
180,02-02-2023 20:45,02-02-2023 21:00,436,92,NA,94.8,75.6,1.87,NA,25.6,5.2,0.2
181,02-02-2023 21:00,02-02-2023 21:15,436,92,NA,95.5,78,1.77,NA,25.4,5.1,0.2
182,02-02-2023 21:15,02-02-2023 21:30,436,92,NA,95.5,79.5,1.8,NA,22.9,5.2,0.2
183,02-02-2023 21:30,02-02-2023 21:45,436,92,NA,94.7,81,1.83,NA,21.2,5.4,0.2
184,02-02-2023 21:45,02-02-2023 22:00,439,72,NA,94.2,82.8,1.95,NA,20.3,5.3,0.2
185,02-02-2023 22:00,02-02-2023 22:15,439,72,NA,94,84.3,1.76,NA,19.5,5.7,0.2
186,02-02-2023 22:15,02-02-2023 22:30,439,72,NA,92.7,84.7,1.77,NA,18.8,5.4,0.2
187,02-02-2023 22:30,02-02-2023 22:45,439,72,NA,92.2,83.8,1.94,NA,18.2,6.7,0.2
188,02-02-2023 22:45,02-02-2023 23:00,307,78,NA,91,83,1.97,NA,18.2,6.3,0.2
189,02-02-2023 23:00,02-02-2023 23:15,307,78,NA,90.3,81.4,1.87,NA,18.4,7.2,0.2
190,02-02-2023 23:15,02-02-2023 23:30,307,78,NA,87.2,78.8,1.83,NA,18.5,8.8,0.2
191,02-02-2023 23:30,02-02-2023 23:45,307,78,NA,85.4,76.2,1.6,NA,18.3,12.1,0.2
192,02-02-2023 23:45,03-02-2023 00:00,234,59,NA,83.7,75,NA,NA,19,8.9,0.2
193,03-02-2023 00:00,03-02-2023 00:15,234,59,NA,85.1,74.9,1.44,NA,18.4,9.5,0.2
194,03-02-2023 00:15,03-02-2023 00:30,234,59,NA,84.3,72.6,1.4,NA,18.4,14.8,0.2
195,03-02-2023 00:30,03-02-2023 00:45,234,59,NA,82.9,70.5,1.26,NA,18.5,19.3,0.2
196,03-02-2023 00:45,03-02-2023 01:00,158,67,NA,80.7,68.2,1.24,NA,19,18.8,0.2
197,03-02-2023 01:00,03-02-2023 01:15,158,67,NA,78.8,66,1.21,NA,20.5,18.3,0.2
198,03-02-2023 01:15,03-02-2023 01:30,158,67,NA,76.6,63.4,1.18,NA,23.2,15.1,0.2
199,03-02-2023 01:30,03-02-2023 01:45,158,67,NA,76.4,61.8,1.12,NA,24.8,16.3,0.2
200,03-02-2023 01:45,03-02-2023 02:00,150,62,NA,76.1,61.2,1.19,NA,25.8,14.5,0.2
201,03-02-2023 02:00,03-02-2023 02:15,150,62,NA,76.6,60.6,1.21,NA,27,11.8,0.2
202,03-02-2023 02:15,03-02-2023 02:30,150,62,NA,77,59.2,1.2,NA,26.4,8.3,0.2
203,03-02-2023 02:30,03-02-2023 02:45,150,62,NA,77.4,58.8,1.12,NA,26,12.2,0.2
204,03-02-2023 02:45,03-02-2023 03:00,150,56,NA,76.8,58.3,1.12,NA,25.9,14.4,0.2
205,03-02-2023 03:00,03-02-2023 03:15,150,56,NA,76.2,57.2,1.12,NA,26.1,15.5,0.2
206,03-02-2023 03:15,03-02-2023 03:30,150,56,NA,76.5,56.9,1.09,NA,25.4,15.7,0.2
207,03-02-2023 03:30,03-02-2023 03:45,150,56,NA,76.3,56.3,1.26,NA,25.4,8,0.2
208,03-02-2023 03:45,03-02-2023 04:00,122,62,NA,75.2,56,1.4,NA,25.8,5.1,0.2
209,03-02-2023 04:00,03-02-2023 04:15,122,62,NA,75.5,56.6,1.39,NA,25.8,5,0.2
210,03-02-2023 04:15,03-02-2023 04:30,122,62,NA,75.6,57.1,1.42,NA,25.6,4.9,0.2
211,03-02-2023 04:30,03-02-2023 04:45,122,62,NA,77.1,58.2,1.44,NA,25,4.8,0.2
212,03-02-2023 04:45,03-02-2023 05:00,151,77,NA,76.5,58.9,1.4,NA,25.5,4.3,0.2
213,03-02-2023 05:00,03-02-2023 05:15,151,77,NA,76.9,60,1.45,NA,25.2,5.1,0.2
214,03-02-2023 05:15,03-02-2023 05:30,151,77,NA,75.8,60.9,1.59,NA,21.9,5.6,0.2
215,03-02-2023 05:30,03-02-2023 05:45,151,77,NA,74.7,61.6,1.42,NA,20.4,5.1,0.2
216,03-02-2023 05:45,03-02-2023 06:00,202,75,NA,72.9,61.8,1.28,NA,19.8,5.3,0.2
217,03-02-2023 06:00,03-02-2023 06:15,202,75,NA,72.6,61.9,1.21,NA,19.1,6.4,0.2
218,03-02-2023 06:15,03-02-2023 06:30,202,75,NA,70.1,59.9,1.16,NA,19.4,6.9,0.2
219,03-02-2023 06:30,03-02-2023 06:45,202,75,NA,68.5,58.3,1.16,NA,19.1,7.3,0.2
220,03-02-2023 06:45,03-02-2023 07:00,190,58,NA,67.2,57,1.19,NA,18.5,6.6,0.2
221,03-02-2023 07:00,03-02-2023 07:15,190,58,NA,67,56.3,1.21,NA,18.5,7.2,0.2
222,03-02-2023 07:15,03-02-2023 07:30,190,58,NA,65.1,54.2,1.24,NA,19,8.6,0.2
223,03-02-2023 07:30,03-02-2023 07:45,190,58,NA,64.5,53.4,1.41,NA,19,12.1,0.2
224,03-02-2023 07:45,03-02-2023 08:00,117,100,NA,65.8,53.6,1.4,NA,19.3,15.8,0.2
225,03-02-2023 08:00,03-02-2023 08:15,117,100,NA,66.3,53.1,1.18,NA,20,25.2,0.2
226,03-02-2023 08:15,03-02-2023 08:30,117,100,NA,66.5,52.6,1.19,NA,20.3,29.2,0.2
227,03-02-2023 08:30,03-02-2023 08:45,117,100,NA,66.9,51.5,1.24,NA,21,28.4,0.2
228,03-02-2023 08:45,03-02-2023 09:00,197,92,NA,69.6,50.7,1.13,NA,20.9,NA,0.2
229,03-02-2023 09:00,03-02-2023 09:15,197,92,NA,71.1,50.7,1.04,NA,21.4,NA,0.2
230,03-02-2023 09:15,03-02-2023 09:30,197,92,NA,72,50.5,0.98,NA,22.8,46.2,0.2
231,03-02-2023 09:30,03-02-2023 09:45,197,92,NA,73.5,50.1,0.95,NA,24.4,49.4,0.2
232,03-02-2023 09:45,03-02-2023 10:00,179,50,NA,73.9,49,NA,NA,27.7,51.2,0.2
233,03-02-2023 10:00,03-02-2023 10:15,179,50,NA,74.3,48.7,NA,NA,30.4,51.9,0.2
234,03-02-2023 10:15,03-02-2023 10:30,179,50,NA,74.8,48.4,1.84,NA,31.4,53.3,0.2
235,03-02-2023 10:30,03-02-2023 10:45,179,50,NA,75.9,48.4,0.98,NA,31.9,54.6,0.2
236,03-02-2023 10:45,03-02-2023 11:00,179,37,NA,76.7,48.5,0.96,NA,31.5,55,0.2
237,03-02-2023 11:00,03-02-2023 11:15,179,37,NA,77.9,48.2,0.94,NA,30.3,59,0.2
238,03-02-2023 11:15,03-02-2023 11:30,179,37,NA,78.2,47.5,0.93,NA,30.5,59.9,0.2
239,03-02-2023 11:30,03-02-2023 11:45,179,37,NA,77.7,47.5,0.93,NA,30.8,59.1,0.1
240,03-02-2023 11:45,03-02-2023 12:00,114,22,NA,NA,NA,0.94,NA,NA,55.9,0.1
241,03-02-2023 12:00,03-02-2023 12:15,114,22,NA,NA,NA,0.97,NA,NA,53.9,0.1
242,03-02-2023 12:15,03-02-2023 12:30,114,22,NA,NA,NA,1.02,NA,25.3,50.9,0.1
243,03-02-2023 12:30,03-02-2023 12:45,114,22,NA,76.8,44.2,1.05,NA,24,52,0.1
244,03-02-2023 12:45,03-02-2023 13:00,97,27,NA,79.8,46.6,1.06,NA,25.4,52.3,0.1
245,03-02-2023 13:00,03-02-2023 13:15,97,27,NA,83,49,1.03,NA,25.9,55.5,0.1
